[2023-05-08 10:44:00] main.DEBUG: Model Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Model Override Test [] []
[2023-05-08 10:44:00] main.DEBUG: Model Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Block Override Test [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::beforeGetProduct - 11 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 27 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::aroundGetProduct - 33 [] []
[2023-05-08 10:44:01] main.DEBUG: Ecommage\ThanhEx2\Plugin\ProductPlugin::afterGetProduct - 18 [] []
[2023-05-08 10:46:52] main.INFO: Broken reference: the 'yotpo_bottomline' element cannot be added as child to 'product.info.main', because the latter doesn't exist [] []
[2023-05-08 10:46:52] main.INFO: Broken reference: the 'yotpo_bottomline' tries to reorder itself towards 'product.info.addto', but their parents are different: 'product.info.main' and '' respectively. [] []
[2023-05-08 10:46:54] main.ERROR: Braintree\Configuration::merchantId needs to be set (or accessToken needs to be passed to Braintree\Gateway). [] []
[2023-05-08 10:46:54] main.DEBUG: Model Override Test [] []
[2023-05-08 10:46:54] main.DEBUG: Model Override Test [] []
[2023-05-08 10:46:54] main.DEBUG: Model Override Test [] []
[2023-05-08 10:46:54] main.DEBUG: Model Override Test [] []
[2023-05-08 10:46:54] main.DEBUG: Model Override Test [] []
[2023-05-08 10:46:54] main.DEBUG: Model Override Test [] []
[2023-05-08 10:46:54] main.INFO: Broken reference: the 'catalog.compare.sidebar' element cannot be added as child to 'sidebar.additional', because the latter doesn't exist [] []
